,percentage,size
0,1.43130737924541,385536
1,7.609017393608414,1746944
2,0.25403002820016907,48128
3,0.3193115847572572,48640
4,3.6852033889176083,13312
5,1.03728035734305,63488
6,4.192122849929226,12800
7,0.2624115935419648,41640
8,1.3927068804681344,368640
9,0.9303912601313461,152576
10,1.8361565157465578,291736
11,1.2138112465436124,67480
12,0.5407795279310101,75360
13,1.3016666090037536,63896
14,0.8721102266459719,84792
15,3.4233827589425667,15872
16,2.4585799155880528,18944
17,0.7643622929495427,30720
18,3.6852661343275,12800
19,1.6244608684754998,250232
20,1.8542882754673593,19968
21,0.5102720308549611,66280
22,5.429510875028183,38912
23,2.7499821131530604,103936
24,8.351385230088917,16792
25,3.7010242680206704,16384
26,2.1685436858916014,377856
27,0.3393584662425224,87040
28,1.381668670034696,144384
29,1.4650520887433867,148480
30,2.4732445049897325,120832
31,0.8152665485997244,30208
32,1.2426209709260718,182808
33,1.0599059680933498,115904
34,1.1045745859572884,70656
35,1.6834102631340608,67584
36,0.2898226346897556,41984
37,1.897640421940743,17408
38,1.1897651517369836,47000
39,3.1956149067294595,12288
40,1.1103355134363753,108544
41,4.06349160962082,22936
42,5.699353363885485,35840
43,0.720716072685646,32768
44,2.083838656384727,20480
45,8.787477113815653,24576
46,2.047376428243356,24416
47,1.7209376200379913,41672
48,1.8759659623648541,26112
49,1.4565534342263193,217088
50,1.9046454308104743,642560
51,4.075703871348741,11264
52,1.176386990715201,88480
53,1.1470999863831364,143360
54,1.2949450103777054,17920
55,2.430699982690537,14336
56,2.568787358875002,15360
57,2.951238003819086,13824
58,4.386760816861,13824
59,4.094581688267903,12288
60,1.647576209887715,19968
61,1.079247163070011,26112
62,1.2787035726011602,76816
63,6.02373425484036,159744
64,6.442390517201283,27136
65,1.9597586452930167,17920
66,6.38029337794209,890856
67,0.14812465995685553,43416
68,0.23511704670053998,52096
69,0.7505168908349562,96040
70,1.9501297816544856,154624
71,3.423877833855568,13824
72,1.8257663910899051,27648
73,1.3987327997599561,22528
74,0.21650009597136247,44032
75,2.498795005574255,14336
76,2.926133525084633,13824
77,1.598217471568444,26112
78,0.8066237167181922,76288
79,0.8729255340963918,64000
80,0.8584625248625999,55296
81,4.810686140827376,45056
82,0.31860686006529465,92056
83,4.1633100638461,111104
84,3.299808933504975,12288
85,1.0075224779933758,98304
86,0.45524117799902775,38400
87,0.38117285597750994,59400
88,2.234044024193108,23552
89,0.28571896592143703,84992
90,8.596614151698217,8192
91,3.1089944866995425,140288
92,1.1793840110128564,25600
93,1.099565405356596,40960
94,0.9869542727929409,98200
95,0.2382540803312485,43520
96,0.9007124469442351,62464
97,6.429055897850711,414720
98,8.33090283913154,8704
99,3.310637364537005,15360
100,0.30540285881119456,158720
101,0.5274633912002242,37888
102,3.3518913909672343,24064
103,0.6819570630678329,38912
104,4.482603657517,22528
105,1.4444072059055446,126976
106,0.5504565371320621,73216
107,0.8308751318753134,28672
108,4.374238758980981,370688
109,1.9929202712897258,22016
110,0.6653467317928832,68608
111,2.913383155764242,15872
112,1.5190522283175127,118272
113,0.2614367788584055,37888
114,1.563945468439517,110488
115,0.5416263831948918,51200
116,0.6217989381667843,352272
117,1.0492078210673343,32256
118,7.126497069546881,17816
119,6.84491669291592,9216
120,0.745073414043557,71680
121,2.3865110011914212,20480
122,0.3198933600893195,47616
123,1.7454164694245329,17408
124,1.0043652782590373,22016
125,2.134323740605387,17920
126,4.414866112600503,11264
127,2.4419701337968855,65536
128,6.934642317474524,6656
129,0.41998936841605666,39424
130,0.5788594886331628,38400
131,0.9480223589127653,76800
132,1.9873430470521223,17920
133,1.8506809792612053,256512
134,6.553845781444318,9216
135,1.9098698939473444,20992
136,8.38128289664616,9216
137,0.7993199696478069,35840
138,1.2093271207254548,90112
139,1.4014158133005379,311296
140,1.4131989146144417,86016
141,1.0747171640087176,152064
142,1.7729297178262138,150016
143,5.955308405749961,10240
144,1.5814254980159252,237056
145,0.8677509682911589,41336
146,0.9316458786101132,34304
147,0.7687288770891726,65024
148,0.8021495718877493,31232
149,0.6617476401032751,45568
150,5.1942198172672285,10752
151,6.2400522118526105,81920
152,1.5552930705707444,135168
153,1.4343218870595755,198656
154,0.9375593966294324,25600
155,4.471576947020015,77824
156,1.3550572671628731,30720
157,0.8036084209335401,20992
158,3.4349495061923174,13824
159,1.9965155712759066,126464
160,5.0173320813777815,10240
161,1.8286595659440685,22016
162,5.209157432547766,11264
163,5.630505227577389,12288
164,2.806136525862531,17408
165,0.879446026719449,25088
166,2.534805597913079,102912
167,1.0926770220171185,397592
168,1.3276981822618792,105472
169,0.6949669063140623,26112
170,4.6147134043421705,11264
171,0.6619223663627047,54752
172,0.7596715570391461,95744
173,1.080827732535345,74240
174,0.8785801726592407,30720
175,1.9374753323411698,137728
176,1.800952639851968,132096
177,0.31560874841790004,101888
178,1.9333992850345103,248320
179,3.726263495743212,12288
180,1.6372214177339446,102400
181,1.1034797427704122,434688
182,7.265135090450927,566904
183,0.11287873815206881,40960
184,0.6950990342857682,93696
185,1.5968735708617716,23040
186,2.8030362994704037,16896
187,0.6823573525944645,26112
188,4.993172318040145,60416
189,7.394133674981561,8704
190,6.109168728549284,10240
191,0.3104049115717848,452408
192,0.4869124555364392,536376
193,1.2232471330269208,65056
194,0.9434371945307473,27648
195,2.9065466067997336,174592
196,1.314752356967752,226488
197,1.9432834226946722,22016
198,0.28924213579243174,35328
199,4.49912281327597,12288
200,1.1462816660866837,107520
201,0.3772165693258673,60416
202,0.9484490303366746,37488
203,0.7053217587363242,61440
204,6.202977999605885,10240
205,1.8473088402847941,19968
206,0.7878089984077504,94208
207,1.08367317896162,131072
208,0.4254141459780424,89088
209,2.0058424332266283,20992
210,1.3127379941258863,22016
211,5.671764307520236,11264
212,5.530348227850358,10752
213,0.47049654215334036,28160
214,0.8302232130232146,22528
215,0.6368455784805879,78848
216,2.531523643480871,1678800
217,1.1652980022700703,26112
218,1.2055672993668123,92672
219,0.6841091381595276,78672
220,0.3944396984652035,46424
221,0.4199014812910674,35840
222,8.814332527157335,8192
223,0.9401748211023341,51544
224,1.9547280468602242,31256
225,0.9924964088558992,26624
226,0.7266620649292845,52736
227,1.7806384662410808,50176
228,3.3253935927497595,14848
229,6.509262641322151,10240
230,1.672581284634252,21504
231,1.5603733358098393,340480
232,0.7165056896107918,31232
233,0.7786936386548707,108416
234,1.5468508707293531,33512
235,3.0502931128581103,408064
236,0.6196526281802939,43008
237,1.0897653529903824,145920
238,1.1791218510929966,67992
239,0.5420131593858342,51200
240,3.4142954193656174,383488
241,1.6176666459474047,344576
242,0.9753045926612778,146944
243,2.35863876934691,193536
244,0.32214870697858383,48128
245,0.7833397377098613,59392
246,0.943783265068558,24064
247,4.559930802599597,80896
248,3.4745701898998704,82944
249,1.3323826199388265,32280
250,1.2115381933852991,134144
251,4.915014407422982,26424
252,2.1145797871053054,745984
253,1.1982778664048077,421888
254,1.9601200148076596,87552
255,4.285326258199718,12800
256,3.4828365113584976,12800
257,1.5688998167468267,258168
258,4.063695483202978,11776
259,0.4403276721256042,123904
260,3.5115903173595093,671232
261,1.3299184730731812,122368
262,5.510260803647618,11264
263,2.375532874777571,16384
264,7.2335054256509705,10240
265,1.2339226391412903,35840
266,4.681705591412177,226304
267,3.1070067126764283,2621952
268,1.2487100879845796,241152
269,0.34717983283275317,38400
270,1.451335687069998,966656
271,0.9489548288225993,57344
272,0.5440376355088804,50176
273,2.0675601342754892,44544
274,1.3487089706141284,116736
275,1.009303830250768,82944
276,1.1197714163257926,99688
277,1.4668397227637384,202240
278,3.6315023643409514,13312
279,5.31102147776898,60928
280,0.6963166154053909,32256
281,0.6298005859849273,81408
282,2.7787632037313004,15360
283,1.3113785347758549,19456
284,0.8508241865454238,35840
285,1.0215949255581738,25600
286,8.853182636769567,7680
287,2.27863728150506,18432
288,2.4870602611228003,31232
289,1.155028666285754,34304
290,2.0359699485476184,21504
291,4.11106795010871,62464
292,3.4219680959478582,129024
293,0.5975101823240719,180736
294,2.1170183741172313,249264
295,1.1338091143159081,40960
296,2.8398626538231655,14848
297,0.2191170876104358,39936
298,2.0832502209234893,133120
299,0.6613707606871992,31232
300,0.42910161171592476,37376
301,0.7479659347417986,85008
302,2.262852050402673,102912
303,1.6804332863369076,367616
304,1.1503918562361752,20480
305,0.7428669060787403,36352
306,1.5158791974010244,31184
307,3.5148096279156347,14336
308,0.7872279179659513,26624
309,0.40413810179637766,34816
310,4.927918906402824,10240
311,1.4364086991728942,136192
312,0.5892428618860925,51824
313,0.3894304168881483,56736
314,2.9666911648765653,14848
315,1.3498558948856823,74752
316,7.679529062367054,7680
317,1.5208918427560643,28672
318,1.2084993527235997,102912
319,1.2266988303186754,45568
320,3.7050385932910763,172032
321,0.6206416525718306,150528
322,1.599061891178426,17920
323,4.764851170043156,10240
324,1.772105815518684,41472
325,2.322695113975744,22368
326,1.5757498720967695,285184
327,2.7524751243581655,68608
328,2.635613950736044,20992
329,0.8624171704747152,30720
330,0.3616092447475952,38400
331,1.026515574227613,119240
332,7.561244617761885,17656
333,3.075809450231238,309248
334,1.8226344850415703,438272
335,0.7465147395488332,19456
336,2.3061033773891757,14848
337,2.523361168309895,16896
338,4.183793819763931,11264
339,1.7065103430481632,214528
340,2.4620098615231862,15872
341,2.176033950642254,17408
342,3.7251475642636787,11776
343,3.375768168617781,13312
344,0.8779581914565707,62976
345,2.0953120013266666,19456
346,1.8966542836322842,165888
347,1.6817632409788725,145408
348,0.818178606614901,73216
349,1.6729046792999254,22528
350,2.0417890348279126,14848
351,2.1055769907490993,16896
352,1.899988686015256,165888
353,1.1675819336233841,39424
354,1.1836491272214154,26624
355,0.34247197352646225,32256
356,1.4907419049137804,49152
357,1.1271644399437744,20992
358,0.16637019512559714,117760
359,7.80476773320284,9216
360,1.9191998974998483,647168
361,1.7077340236935272,468480
362,1.500636016059867,38912
363,7.163137433009591,9216
364,1.2904144854854465,25088
365,3.3776700898483853,14336
366,2.416600296623248,15872
367,2.2514508673121627,74752
368,1.144160316709887,26112
369,0.1603126445020796,105984
370,6.327770098254666,9216
371,0.9864091191319476,111616
372,4.180772752388419,12288
373,4.578028156139645,11264
374,6.694843871074825,7680
375,3.30835269552192,318464
376,3.4732428528265764,327680
377,3.271129182812286,265216
378,3.4574684386289474,266240
379,4.048016701147144,11264
380,0.6422970864980232,59392
381,0.9541431173319631,58880
382,2.3612334611947725,15360
383,2.176193521770642,17920
384,1.2775945378620266,26624
385,1.5102035541795684,172032
386,3.614444943421567,13312
387,0.5295074367690414,52224
388,0.1646105402245316,47104
389,2.072996455649203,64000
390,1.0947544288072408,33280
391,0.46834913467445455,57760
392,2.9129670457370973,14336
393,1.451023783647343,32768
394,1.2258227944970284,88064
395,2.9905666499086845,14336
396,0.7597249017546788,28160
397,3.9420438347781706,755200
398,3.741767129787419,15872
399,0.3711765167954305,150528
400,1.688326815550331,437760
401,1.5898514931961416,215040
402,3.110402756324131,31232
403,8.170989774802822,8192
404,1.758182167370074,209392
405,1.0303969427825495,327168
406,2.1885905794830536,282552
407,1.0165057713786534,37376
408,0.6729316409936732,43208
409,1.7374342442686392,230400
410,2.00377319328763,18432
411,1.7789715707746987,402848
412,0.2175037115994909,55296
413,0.329465974034747,30208
414,1.2714965225051134,23040
415,0.7790073627052628,107008
416,2.3207088212605576,16896
417,0.2814359404326679,37888
418,1.47368232464455,112128
419,0.6812066982094773,37888
420,7.3873052316691705,17144
421,3.4449682305356175,295424
422,4.497213295932443,1273856
423,0.9227727075659379,136512
424,1.5501594037827662,433664
425,4.876781251131218,10752
426,2.6255392659379937,15872
427,0.8781791731265939,82432
428,1.9651315589564655,20480
429,1.579632051394932,329728
430,1.324141505112382,301568
431,7.271910233615524,464896
432,6.693169316916235,2928016
433,0.9373270480872551,31232
434,1.5808950088072615,73048
435,4.919302548683602,10240
436,1.1972575055547492,33328
437,1.46363559645616,19456
438,2.275965337450209,24576
439,1.1174659759433527,25088
440,1.3375939074374232,27544
441,0.15412362498667356,45568
442,1.6283076254353477,150384
443,1.5489978162288494,201704
444,0.9716499650802545,126280
445,3.665915359760342,22840
446,1.0990008962891114,33792
447,8.642893264753537,8704
448,1.2583943451991395,58880
449,1.2916249496563603,32768
450,6.550184431291305,9216
451,0.49460974177840356,49496
452,0.4670726668003822,46080
453,0.6378269911115803,48128
454,1.4664004839097775,574712
455,3.96538506385191,10752
456,6.83580647882168,9728
457,0.5280091249913312,70656
458,1.6293214750459297,18944
459,2.031240976290384,126464
460,1.6765159551064643,18432
461,5.022534289701456,12288
462,1.0849346196172207,49664
463,1.0345045901902652,50176
464,0.5724035921895043,59904
465,0.9841472137218056,159744
466,3.9552351309018188,12800
467,3.347184718149718,14848
468,3.476280380986088,14848
469,2.796386931605424,15360
470,0.20557780404933323,29696
471,0.837042207997156,37888
472,1.2910124650506423,28160
473,1.6570073668604544,29184
474,1.4597445351311857,24064
475,1.9647570339071754,30208
476,1.0463606303005013,21504
477,1.7405097618139944,22016
478,0.4146474645182563,71680
479,0.9913622961859595,24576
480,1.6009256927836728,27648
481,0.41110452006141884,87928
482,1.4144060311082889,28584
483,0.6749385510074576,79360
484,2.128761639688825,19456
485,1.2956676897501629,21504
486,0.6475061342581695,44544
487,0.8038061463213689,183152
488,2.7695882441205977,16896
489,2.131776751279182,204800
490,2.7840559364719857,14848
491,6.464896379793897,9728
492,0.42506962054333675,53248
493,0.5269534911741717,67584
494,1.3154980176699684,1203200
495,1.4253649498624226,1069056
496,1.4317534077715528,201848
497,0.7165290891078098,55296
498,1.8230759751656647,498176
499,0.9590509958971191,168248
500,0.9590509958971191,168248
501,0.7068292986424856,44032
502,1.8774757776036648,137216
503,1.151247288564668,22528
504,2.8731961565938087,14848
505,2.0074613384326705,130560
506,2.534661342281737,642048
507,7.822618446933407,7680
508,0.9111698164857827,44544
509,1.9692800587429524,197528
510,0.8777021794965232,119704
511,0.8172878018574193,140184
512,1.1901587121689257,95232
513,1.926409591656632,116736
514,2.22575267234883,523776
515,0.8997529729941657,22528
516,0.28055616305953995,36864
517,0.049763992189370575,64512
518,1.3786942196480954,20480
519,1.8300542395301393,182688
520,1.5647412952733295,246688
521,1.0585204959902417,29696
522,5.465014644918958,9728
523,2.259759944405798,17408
524,0.6966105099454274,30720
525,1.5170571046295074,20992
526,1.4951661036199464,162976
527,2.0894623679401296,333824
528,1.3742596584660665,25088
529,1.8849768101969149,16896
530,4.509769593486535,1399296
531,1.1343839317697444,120680
532,1.6357595206729711,234496
533,0.8005238337485253,44032
534,1.9982793822647331,52384
535,1.9196481252494353,720384
536,0.9766242711046604,81408
537,4.298045234966801,11264
538,1.6294658137495364,464112
539,1.2551646731788895,88064
540,1.4066582003698698,17920
541,3.6183937896284823,13312
542,1.7890835984623028,123904
543,9.609984393540204,9216
544,8.892779703801015,6656
545,4.6665893513248875,83968
546,0.3214598724814971,87040
547,2.1843867011517384,15872
548,2.3372377657103547,16896
549,0.6362273560514807,59904
550,3.3897269878896474,83968
551,6.5171611793611,8192
552,3.5317182083716108,26096
553,1.0492425945648578,73064
554,0.8870744405160818,107008
555,4.196129076627257,161792
556,2.2859537160318344,339456
557,1.3876282024771578,38008
558,1.3204929968418881,18944
559,1.368538813145203,23552
560,1.1997003963682018,1465856
561,1.016866184542804,47104
